thi_nghiem,mechanism,cau_hinh,n,d,k,metric,cach_dem,R,N,mean,sd,min,max,don_vi,nguon
theo_d,offchain,d1,2,1,8,deploy_pool_gas,moi_luot,20,20,968565,0,968565,968565,gas,lap20
theo_d,offchain,d1,2,1,8,update_root_gas,moi_luot,20,20,73830,0,73830,73830,gas,lap20
theo_d,offchain,d1,2,1,8,withdraw_gas,moi_lan_do,20,40,64637,6.076436,64631,64643,gas,lap20
theo_d,offchain,d1,2,1,8,withdraw_ms,moi_lan_do,20,40,36.165997,9.196751,19.1292,63.5256,ms,lap20
theo_d,offchain,d1,2,1,8,witness_ms,moi_lan_do,20,40,0.635158,0.089178,0.3976,0.932,ms,lap20
theo_d,offchain,d1,2,1,8,setup_ms,moi_lan_do,20,40,84.18918,16.294325,56.5855,166.8556,ms,lap20
theo_d,offchain,d1,2,1,8,prove_ms,moi_lan_do,20,40,138.25285,23.897236,86.084,235.0986,ms,lap20
theo_d,offchain,d1,2,1,8,proof_generation_ms,moi_lan_do,20,40,138.888007,23.951686,86.6064,235.8211,ms,lap20
theo_d,offchain,d1,2,1,8,verify_native_ms,moi_lan_do,20,40,5.72934,0.819885,3.6543,8.0695,ms,lap20
theo_d,offchain,d1,2,1,8,proof_bytes,moi_luot,20,20,3008,0,3008,3008,B,lap20
theo_d,offchain,d1,2,1,8,verify_setup_ms,moi_lan_do,20,40,61.228428,8.478939,39.939,88.2306,ms,lap20
theo_d,offchain,d2,4,2,8,deploy_pool_gas,moi_luot,20,20,968565,0,968565,968565,gas,lap20
theo_d,offchain,d2,4,2,8,update_root_gas,moi_luot,20,20,75390,0,75390,75390,gas,lap20
theo_d,offchain,d2,4,2,8,withdraw_gas,moi_lan_do,20,80,64658,10.01265,64643,64667,gas,lap20
theo_d,offchain,d2,4,2,8,withdraw_ms,moi_lan_do,20,80,34.201534,12.088593,16.6798,83.7389,ms,lap20
theo_d,offchain,d2,4,2,8,witness_ms,moi_lan_do,20,80,0.762755,0.163909,0.4632,1.4648,ms,lap20
theo_d,offchain,d2,4,2,8,setup_ms,moi_lan_do,20,80,84.217628,15.711146,53.8524,161.518,ms,lap20
theo_d,offchain,d2,4,2,8,prove_ms,moi_lan_do,20,80,140.94118,21.778797,89.0247,223.5782,ms,lap20
theo_d,offchain,d2,4,2,8,proof_generation_ms,moi_lan_do,20,80,141.703935,21.858246,89.498,224.4394,ms,lap20
theo_d,offchain,d2,4,2,8,verify_native_ms,moi_lan_do,20,80,5.823054,0.987532,3.6362,10.6807,ms,lap20
theo_d,offchain,d2,4,2,8,proof_bytes,moi_luot,20,20,3008,0,3008,3008,B,lap20
theo_d,offchain,d2,4,2,8,verify_setup_ms,moi_lan_do,20,80,63.674175,9.75734,42.9244,100.9901,ms,lap20
theo_d,offchain,d3,8,3,8,deploy_pool_gas,moi_luot,20,20,968565,0,968565,968565,gas,lap20
theo_d,offchain,d3,8,3,8,update_root_gas,moi_luot,20,20,78462,0,78462,78462,gas,lap20
theo_d,offchain,d3,8,3,8,withdraw_gas,moi_lan_do,20,160,64650.5,8.377868,64631,64655,gas,lap20
theo_d,offchain,d3,8,3,8,withdraw_ms,moi_lan_do,20,160,36.177079,15.118262,15.6494,103.4127,ms,lap20
theo_d,offchain,d3,8,3,8,witness_ms,moi_lan_do,20,160,0.868512,0.162967,0.5088,1.6376,ms,lap20
theo_d,offchain,d3,8,3,8,setup_ms,moi_lan_do,20,160,84.953464,12.644116,55.0518,163.3786,ms,lap20
theo_d,offchain,d3,8,3,8,prove_ms,moi_lan_do,20,160,141.337016,20.016212,90.1112,252.4351,ms,lap20
